,age,job,marital,education,balance,housing,loan,duration,campaign,pdays,poutcome,y
34,49.0,technician,married,tertiary,1235.0,no,no,0.41019857348464245,3,-1,unknown,no
38,33.0,management,married,secondary,3935.0,yes,no,2.067138584964967,1,342,failure,yes
54,41.61746987951807,blue-collar,married,secondary,2231.0,yes,no,0.07961686803114702,3,-1,unknown,no
65,51.0,blue-collar,divorced,secondary,23.0,yes,no,-0.47672795334180873,1,170,failure,no
89,41.61746987951807,blue-collar,married,secondary,1831.0,yes,no,-0.19855554265533085,2,-1,unknown,no
90,39.0,blue-collar,married,primary,111.0,no,no,-0.20661851108102586,2,-1,unknown,no
94,57.0,blue-collar,married,secondary,1493.0,no,no,-0.0856739846956007,5,-1,unknown,no
101,38.0,management,single,tertiary,493.0,yes,no,1.212463931841296,1,367,failure,yes
103,57.0,services,single,primary,3777.0,yes,no,-0.7549003640282866,2,-1,unknown,no
111,58.0,management,married,tertiary,1517.0,yes,no,-0.9887264483734419,5,-1,unknown,no
120,31.0,admin.,divorced,secondary,189.0,yes,no,1.3535658792909586,1,-1,unknown,yes
134,27.0,technician,single,secondary,769.0,yes,no,0.26103365760928476,2,-1,unknown,no
145,41.61746987951807,management,married,tertiary,16.0,no,yes,1.3535658792909586,2,-1,unknown,yes
162,41.0,admin.,single,secondary,-256.0,no,yes,-0.8758448904137117,3,-1,unknown,no
168,48.0,technician,married,tertiary,31.0,no,no,0.05028386974865333,1,-1,unknown,no
188,36.0,technician,married,secondary,23.0,yes,no,-0.4041612375105536,2,347,failure,no
193,36.0,services,married,secondary,1981.0,no,no,-0.8234355956466942,2,-1,unknown,no
197,38.0,services,married,secondary,1.0,no,yes,-0.4041612375105536,2,-1,unknown,no
205,45.0,technician,married,tertiary,1136.7502401536983,yes,no,-0.4565705322775712,2,-1,unknown,no
218,49.0,blue-collar,married,primary,35.0,yes,yes,2.345310995651445,10,-1,unknown,yes
251,32.0,management,married,tertiary,2349.0,no,no,-0.47672795334180873,5,-1,unknown,no
259,29.0,blue-collar,married,secondary,482.0,no,yes,3.4055913436303387,3,-1,unknown,yes
276,41.61746987951807,housemaid,married,tertiary,11219.0,no,no,1.8010606269170317,2,79,failure,yes
294,47.0,management,married,tertiary,3681.0,no,no,-0.6097669323657764,2,-1,unknown,no
317,50.0,admin.,married,primary,276.0,no,yes,1.5672345425718766,6,-1,unknown,yes
337,33.0,management,single,tertiary,141.0,yes,no,-0.9846949641605944,1,254,failure,no
344,37.0,management,single,unknown,54.0,yes,no,1.220526900266991,1,-1,unknown,yes
365,23.0,student,single,secondary,78.0,no,no,0.059459446966909496,1,-1,unknown,no
373,51.0,technician,married,secondary,-379.0,yes,no,0.035270541689824464,1,-1,unknown,no
381,39.0,blue-collar,married,primary,375.0,yes,no,-0.7065225534741165,1,-1,unknown,no
382,59.0,retired,married,tertiary,9676.0,no,no,-0.07357953205705818,2,-1,unknown,no
383,37.0,services,married,secondary,1328.0,yes,no,0.05028386974865333,2,341,failure,no
394,33.0,blue-collar,married,secondary,43.0,yes,no,0.32150592080199736,2,358,failure,no
411,41.61746987951807,blue-collar,single,secondary,186.0,no,no,0.3618207629304724,1,-1,unknown,no
416,31.0,services,single,secondary,27.0,no,no,0.2690966260349798,2,-1,unknown,no
419,46.0,technician,married,secondary,1322.0,yes,yes,1.0552360475402434,1,-1,unknown,yes
446,31.0,technician,married,secondary,2363.0,yes,no,-0.02117023729004061,1,-1,unknown,no
492,41.61746987951807,admin.,married,secondary,1796.0,no,no,0.17234100492663965,1,91,success,no
494,44.0,technician,single,secondary,244.0,yes,no,5.977678271427047,4,-1,unknown,yes
502,31.0,management,married,tertiary,13.0,no,no,-0.5734835744501489,5,-1,unknown,no
504,41.0,management,married,tertiary,3872.0,no,no,-0.0856739846956007,1,-1,unknown,no
505,31.0,unemployed,married,secondary,296.0,yes,no,0.5069541945929826,3,-1,unknown,no
513,48.0,management,divorced,tertiary,18.0,yes,no,-0.6581447429199465,2,-1,unknown,no
515,45.0,unemployed,divorced,primary,757.0,no,no,-0.6017039639400814,1,325,failure,no
522,43.0,admin.,divorced,secondary,738.0,yes,no,1.3414714266524161,4,191,failure,yes
531,58.0,management,married,primary,76.0,yes,no,-0.7992466903696092,4,-1,unknown,no
557,43.0,management,single,tertiary,134.0,no,no,1.0028267527732257,2,-1,unknown,yes
590,45.0,self-employed,married,tertiary,334.0,no,no,-0.6662077113456415,2,-1,unknown,no
591,39.0,technician,married,secondary,148.0,no,yes,0.6158042683398652,1,-1,unknown,no
606,28.0,blue-collar,married,secondary,12.0,yes,no,-0.005044300438650589,1,-1,unknown,no
613,41.0,self-employed,married,tertiary,231.0,no,no,0.40213560505894747,2,-1,unknown,no
614,39.0,technician,married,tertiary,1161.0,yes,no,-0.06551656363136317,1,336,failure,no
624,31.0,self-employed,married,tertiary,1134.0,no,no,-0.3154685848279085,2,-1,unknown,no
635,33.0,management,divorced,tertiary,28.0,no,yes,-0.39206678487201113,1,-1,unknown,no
636,41.0,blue-collar,divorced,primary,2195.0,yes,no,-0.1663036689525508,5,-1,unknown,no
641,56.0,unknown,married,unknown,1136.7502401536983,no,no,0.8818822263878006,2,-1,unknown,yes
647,46.0,management,divorced,tertiary,6269.0,yes,no,-0.013107268864345599,3,112,failure,no
655,59.0,retired,married,primary,1136.7502401536983,yes,no,-0.5976724797272339,7,-1,unknown,no
673,33.0,management,married,tertiary,188.0,yes,no,-0.6178299007914714,4,-1,unknown,no
675,37.0,technician,married,secondary,64.0,yes,no,-0.053422110992820654,4,278,other,no
679,44.0,housemaid,married,primary,376.0,no,no,-0.17436663737824581,3,-1,unknown,no
684,28.0,services,single,secondary,168.0,no,no,0.38197818399470995,3,140,success,no
694,49.0,management,married,tertiary,143.0,no,no,-0.0856739846956007,2,-1,unknown,no
695,51.0,retired,married,secondary,35.0,no,yes,-0.5210742796831312,4,-1,unknown,no
706,33.0,technician,single,tertiary,123.0,no,no,0.04736499432836698,1,-1,unknown,no
730,38.0,self-employed,single,secondary,1146.0,yes,no,-0.6500817744942514,2,-1,unknown,no
735,30.0,services,single,secondary,566.0,no,no,-0.5734835744501489,1,-1,unknown,no
749,43.0,blue-collar,divorced,primary,49.0,yes,no,-0.6137984165786239,1,-1,unknown,no
766,57.0,management,married,primary,152.0,yes,no,-0.10179992154699072,4,-1,unknown,no
769,52.0,management,married,tertiary,1944.0,yes,no,-0.05745359520566816,3,323,failure,no
795,30.0,management,single,tertiary,162.0,yes,no,-0.26709077427373845,4,-1,unknown,no
803,57.0,housemaid,single,secondary,254.0,no,no,1.7083364900215392,1,-1,unknown,yes
813,31.0,management,married,secondary,466.0,yes,no,-0.35578342695638354,1,-1,unknown,no
822,40.0,self-employed,married,tertiary,13669.0,no,no,-0.4606020164904187,1,136,other,no
830,42.0,management,single,tertiary,1136.7502401536983,no,no,-0.6178299007914714,1,-1,unknown,no
831,47.0,blue-collar,married,secondary,1996.0,no,no,0.05028386974865333,2,-1,unknown,no
837,39.0,services,single,secondary,766.0,yes,no,1.6720531321059116,3,357,other,yes
860,58.0,blue-collar,married,primary,39.0,no,no,-0.3880353006591636,2,-1,unknown,no
868,41.61746987951807,technician,married,secondary,141.0,yes,no,0.18846694177802967,2,-1,unknown,no
877,30.0,management,single,tertiary,19358.0,no,no,0.023176089051281948,2,-1,unknown,no
883,45.0,entrepreneur,married,primary,58.0,yes,no,-0.5372002165345213,3,371,failure,no
892,27.0,student,single,tertiary,5291.0,no,no,-0.2429018689966534,2,92,failure,no
902,58.0,technician,single,secondary,49.0,no,yes,1.5752975109975715,2,-1,unknown,yes
935,46.0,blue-collar,married,primary,294.0,no,no,0.09977428909538455,2,-1,unknown,no
951,55.0,management,married,tertiary,979.0,no,yes,-0.5210742796831312,1,-1,unknown,no
967,41.61746987951807,blue-collar,married,secondary,6411.0,yes,yes,-0.43641311121333365,1,266,failure,no
977,44.0,self-employed,married,tertiary,134.0,no,no,-0.670239195558489,4,-1,unknown,no
993,31.0,admin.,married,secondary,314.0,yes,no,0.10783725752107956,1,-1,unknown,no
994,59.0,housemaid,married,primary,1136.7502401536983,no,no,-0.710554037686964,11,-1,unknown,no
999,20.0,student,single,secondary,291.0,no,no,-0.3235315532536035,5,371,failure,no
1001,31.0,technician,single,tertiary,438.0,yes,no,-0.49285389019319875,2,-1,unknown,no
1004,41.61746987951807,blue-collar,married,secondary,24.0,yes,yes,-0.09373695312129571,3,-1,unknown,no
1024,36.0,blue-collar,married,secondary,2357.0,yes,no,-0.09776843733414321,2,-1,unknown,no
1032,46.0,management,single,primary,538.0,no,no,-0.5412317007473688,3,-1,unknown,no
1052,30.0,admin.,married,secondary,11.0,yes,no,-0.3840038164463161,1,-1,unknown,no
1066,38.0,technician,married,secondary,74.0,no,no,0.027207573264129453,3,-1,unknown,no
1067,44.0,management,married,secondary,8262.0,yes,no,-0.20661851108102586,16,-1,unknown,no
1069,45.0,technician,single,unknown,718.0,yes,yes,-0.8032781745824566,1,172,failure,no
1096,46.0,technician,married,tertiary,217.0,yes,no,-0.4485075638518762,1,346,other,no
1098,37.0,technician,single,secondary,1136.7502401536983,yes,no,-0.7387744271768966,2,-1,unknown,no
1101,28.0,management,married,tertiary,148.0,yes,no,-0.4404445954261812,1,-1,unknown,no
1104,37.0,blue-collar,single,primary,851.0,yes,no,-0.40819272172340115,1,352,failure,no
1109,59.0,technician,married,secondary,1.0,no,no,0.05028386974865333,2,378,failure,no
1110,50.0,blue-collar,divorced,primary,-1.0,no,yes,0.47067083667735504,6,-1,unknown,no
1155,32.0,technician,single,tertiary,259.0,no,no,0.6238672367655602,4,-1,unknown,no
1181,41.61746987951807,services,married,secondary,176.0,yes,no,-0.4041612375105536,1,182,success,no
1189,41.61746987951807,technician,single,secondary,21.0,no,no,0.019144604838434442,2,-1,unknown,no
1197,64.0,management,married,tertiary,679.0,no,no,-0.47269646912896124,3,-1,unknown,no
1210,60.0,admin.,divorced,secondary,174.0,yes,no,-0.04535914256712564,1,364,failure,no
1211,66.0,admin.,single,secondary,1177.0,no,no,0.07961686803114702,4,-1,unknown,no
1217,44.0,blue-collar,married,primary,271.0,yes,yes,-0.6379873218557089,1,-1,unknown,no
1221,30.0,self-employed,married,secondary,1772.0,yes,no,-0.3799723322334686,4,-1,unknown,no
1222,27.0,admin.,single,secondary,15.0,no,yes,-0.303374132189366,1,-1,unknown,no
1223,49.0,management,divorced,tertiary,237.0,yes,yes,-0.7911837219439142,1,103,other,no
1224,27.0,services,single,secondary,21.0,yes,no,-0.3235315532536035,2,-1,unknown,no
1229,27.0,blue-collar,married,primary,-79.0,yes,no,0.5351745840829152,5,-1,unknown,no
1243,69.0,retired,married,primary,579.0,no,no,-0.0897054689084482,1,-1,unknown,no
1245,45.0,admin.,single,secondary,1136.7502401536983,yes,no,-0.8637504377751692,1,-1,unknown,no
1250,33.0,management,divorced,secondary,1897.0,yes,yes,-0.22274444793241588,1,-1,unknown,no
1260,33.0,services,single,secondary,-56.0,no,yes,-0.5372002165345213,5,-1,unknown,no
1261,30.0,blue-collar,married,primary,1.0,yes,yes,-0.694428100835574,2,-1,unknown,no
1262,43.0,blue-collar,married,primary,-98.0,yes,yes,-0.5654206060244539,2,330,other,no
1287,31.0,management,married,tertiary,263.0,yes,no,0.11186874173392707,4,-1,unknown,no
1295,41.61746987951807,management,single,tertiary,172.0,no,no,-0.7468373956025915,2,-1,unknown,no
1302,46.0,blue-collar,married,secondary,494.0,yes,no,1.9018477322382195,1,-1,unknown,yes
1312,80.0,retired,married,secondary,834.0,no,no,0.05028386974865333,1,64,failure,no
1334,32.0,management,single,tertiary,311.0,no,no,2.034886711262187,2,-1,unknown,yes
1341,31.0,services,married,secondary,413.0,yes,no,-0.7549003640282866,1,-1,unknown,no
1343,47.0,technician,married,secondary,1233.0,yes,no,-0.6500817744942514,1,100,other,no
1346,41.61746987951807,admin.,married,secondary,1499.0,yes,no,-0.26709077427373845,1,327,failure,no
1347,29.0,self-employed,married,tertiary,751.0,yes,no,-0.5291372481088263,2,-1,unknown,no
1358,41.0,technician,married,secondary,1136.7502401536983,no,no,-0.6097669323657764,1,-1,unknown,no
1364,41.61746987951807,management,married,tertiary,196.0,yes,no,-0.7428059113897441,3,-1,unknown,no
1366,36.0,management,married,tertiary,-296.0,yes,no,-0.5613891218116064,3,-1,unknown,no
1373,56.0,blue-collar,married,primary,379.0,no,no,-0.7831207535182191,5,-1,unknown,no
1382,41.61746987951807,admin.,married,secondary,299.0,yes,no,-0.17436663737824581,1,321,failure,no
1406,44.0,admin.,single,secondary,2524.0,no,no,-0.686365132409879,1,-1,unknown,no
1435,64.0,retired,married,secondary,1574.0,no,no,0.19652991020372468,3,-1,unknown,no
1441,49.0,unknown,married,unknown,31.0,no,no,2.1638942060733073,2,-1,unknown,yes
1447,45.0,admin.,married,secondary,638.0,yes,no,-0.7145855218998115,9,-1,unknown,no
1451,29.0,services,married,secondary,3748.0,no,no,0.05028386974865333,3,-1,unknown,no
1489,27.0,unknown,single,tertiary,6421.0,no,no,-0.4243186585747912,4,-1,unknown,no
1498,51.0,blue-collar,divorced,primary,837.0,no,no,-0.8516559851366268,2,-1,unknown,no
1500,30.0,services,married,secondary,1743.0,yes,no,-0.2429018689966534,4,-1,unknown,no
1514,32.0,technician,married,secondary,167.0,yes,yes,-0.6984595850484215,3,-1,unknown,no
1517,41.61746987951807,unknown,married,unknown,13.0,no,no,0.05028386974865333,1,-1,unknown,no
1523,41.61746987951807,technician,single,secondary,2178.0,yes,no,-0.8516559851366268,1,-1,unknown,no
1545,56.0,admin.,married,secondary,1136.7502401536983,yes,no,-0.3960982690848586,2,-1,unknown,no
1555,41.61746987951807,entrepreneur,married,tertiary,412.0,yes,yes,-0.35578342695638354,1,-1,unknown,no
1560,52.0,management,married,tertiary,1339.0,yes,no,0.36585224714331993,5,-1,unknown,no
1563,55.0,entrepreneur,married,secondary,24.0,yes,no,0.8173784789822405,13,-1,unknown,yes
1565,45.0,unemployed,divorced,secondary,728.0,yes,yes,-0.5855780270886913,1,-1,unknown,no
1585,42.0,blue-collar,married,secondary,5639.0,yes,no,0.7165913736610529,2,-1,unknown,no
1597,41.61746987951807,self-employed,single,tertiary,876.0,yes,no,0.05028386974865333,2,-1,unknown,no
1604,49.0,management,single,tertiary,151.0,yes,no,0.05028386974865333,3,-1,unknown,no
1605,41.61746987951807,services,married,secondary,-2.0,yes,yes,-0.43641311121333365,2,-1,unknown,no
1615,41.61746987951807,management,married,tertiary,417.0,yes,no,-0.4606020164904187,1,-1,unknown,no
1629,42.0,blue-collar,married,secondary,13.0,yes,no,0.1320261627981646,1,-1,unknown,no
1630,32.0,management,divorced,tertiary,1.0,yes,no,0.5916153630627802,4,-1,unknown,no
1646,38.0,technician,single,tertiary,2273.0,yes,no,-0.12195734261122824,1,-1,unknown,no
1665,51.0,blue-collar,married,secondary,2237.0,yes,no,1.4785418898892313,1,-1,unknown,yes
1671,41.61746987951807,blue-collar,married,primary,624.0,yes,no,-0.3598149111692311,1,-1,unknown,no
1721,60.0,retired,married,secondary,262.0,no,no,0.5674264577856952,4,-1,unknown,no
1732,48.0,management,married,primary,191.0,yes,no,0.6480561420426453,2,-1,unknown,no
1736,40.0,admin.,single,secondary,1.0,yes,no,-0.12598882682407575,1,461,success,no
1753,56.0,services,married,secondary,83.0,no,no,-0.9121282483293393,11,-1,unknown,no
1760,41.61746987951807,technician,married,secondary,1136.7502401536983,yes,no,1.0955508896687183,1,96,success,yes
1762,41.61746987951807,self-employed,single,tertiary,44.0,no,no,0.23281326811935224,2,96,other,no
1765,32.0,blue-collar,single,secondary,2.0,no,no,-0.43641311121333365,2,-1,unknown,no
1773,37.0,unemployed,married,unknown,4565.0,no,no,0.47067083667735504,1,-1,unknown,no
1787,39.0,management,married,tertiary,1136.7502401536983,yes,no,-0.8314985640723892,2,-1,unknown,no
1792,54.0,services,married,primary,8.0,yes,no,-0.4404445954261812,1,-1,unknown,no
1795,41.61746987951807,admin.,single,secondary,283.0,no,no,-0.9282541851807293,12,-1,unknown,no
1797,31.0,technician,single,secondary,125.0,no,no,-0.702491069261269,2,-1,unknown,no
1846,51.0,self-employed,married,secondary,95.0,yes,no,0.05028386974865333,4,-1,unknown,no
1858,41.61746987951807,blue-collar,married,secondary,622.0,yes,no,-0.43238162700048616,1,-1,unknown,no
1868,42.0,management,married,primary,-679.0,yes,yes,-0.3759408480206211,1,343,failure,no
1881,36.0,management,married,tertiary,27359.0,yes,no,-0.7307114587512016,2,-1,unknown,no
1900,19.0,student,single,unknown,1136.7502401536983,no,no,-0.5210742796831312,3,-1,unknown,no
1908,44.0,technician,single,secondary,-27.0,yes,yes,-0.6137984165786239,3,-1,unknown,no
1924,44.0,technician,divorced,secondary,-329.0,yes,no,-0.32756303746645105,1,-1,unknown,no
1931,45.0,blue-collar,married,secondary,4365.0,no,yes,-0.8355300482852367,2,-1,unknown,no
1948,27.0,technician,single,tertiary,383.0,yes,no,-0.03326468992858313,2,-1,unknown,no
1955,46.0,management,divorced,tertiary,-154.0,yes,yes,-0.5855780270886913,2,-1,unknown,no
1962,25.0,unemployed,single,tertiary,343.0,no,no,0.5029227103801351,1,-1,unknown,no
1973,59.0,blue-collar,married,unknown,139.0,no,no,-0.4001297532977061,1,-1,unknown,no
1975,50.0,admin.,divorced,secondary,1111.0,yes,no,-0.8153726272209991,1,-1,unknown,no
1989,45.0,blue-collar,married,secondary,2926.0,yes,yes,0.9262285527291232,3,120,failure,yes
1991,37.0,entrepreneur,divorced,tertiary,66.0,no,no,3.6757007858911215,2,-1,unknown,yes
1997,41.61746987951807,blue-collar,single,secondary,77.0,yes,no,-0.06551656363136317,2,-1,unknown,no
2005,51.0,unemployed,married,secondary,-13.0,yes,no,0.438418962974575,1,364,failure,no
2022,33.0,management,single,tertiary,317.0,no,no,-0.025201721502888116,2,-1,unknown,no
2038,33.0,blue-collar,single,secondary,5137.0,yes,no,-0.5210742796831312,1,-1,unknown,no
2039,43.0,management,married,tertiary,1344.0,yes,no,-0.8718134062008642,4,-1,unknown,no
2041,73.0,retired,married,primary,154.0,no,no,-0.6017039639400814,1,-1,unknown,no
2044,44.0,management,married,tertiary,529.0,yes,no,-0.49688537440604624,4,-1,unknown,no
2053,41.61746987951807,technician,single,secondary,-46.0,yes,no,-0.9242227009678818,1,-1,unknown,no
2055,48.0,technician,married,secondary,568.0,yes,no,0.05028386974865333,2,386,success,no
2108,46.0,blue-collar,divorced,primary,452.0,yes,no,-0.5613891218116064,4,-1,unknown,no
2114,33.0,management,married,tertiary,1412.0,yes,no,0.9181655843034281,1,-1,unknown,yes
2118,51.0,blue-collar,married,primary,3726.0,no,yes,-0.5372002165345213,12,-1,unknown,no
2120,62.0,retired,divorced,tertiary,1136.7502401536983,no,no,-0.10179992154699072,2,-1,unknown,no
2151,51.0,blue-collar,divorced,primary,62.0,yes,no,0.38197818399470995,1,284,failure,no
2163,51.0,technician,married,secondary,149.0,yes,no,-0.10179992154699072,2,-1,unknown,no
2172,31.0,blue-collar,single,primary,-495.0,yes,no,0.32956888922769234,2,-1,unknown,no
2174,41.61746987951807,services,married,secondary,819.0,yes,no,-0.6057354481529289,14,-1,unknown,no
2199,41.61746987951807,admin.,divorced,secondary,148.0,yes,yes,-0.21468147950672087,1,-1,unknown,no
2210,41.61746987951807,entrepreneur,married,tertiary,4343.0,no,no,-0.6742706797713365,4,-1,unknown,no
2219,44.0,technician,married,secondary,2776.0,yes,no,1.809123595342727,1,-1,unknown,yes
2241,41.0,blue-collar,married,primary,389.0,yes,no,-0.6662077113456415,6,-1,unknown,no
2245,45.0,technician,married,secondary,115.0,yes,no,-0.5815465428758438,1,-1,unknown,no
2257,55.0,blue-collar,married,secondary,383.0,no,no,0.1400891312238596,1,-1,unknown,no
2273,44.0,blue-collar,married,primary,-11.0,yes,no,-0.9645375430963569,1,-1,unknown,no
2296,32.0,blue-collar,married,secondary,195.0,yes,no,1.8413754690455069,2,-1,unknown,yes
2307,47.0,management,divorced,tertiary,2515.0,no,no,-0.8556874693494743,3,-1,unknown,no
2321,27.0,services,married,secondary,54.0,yes,no,1.172149089712821,2,-1,unknown,yes
2354,41.61746987951807,management,single,secondary,1136.7502401536983,no,no,-0.4847909217675037,4,-1,unknown,no
