,age,job,marital,education,balance,housing,loan,duration,campaign,pdays,poutcome,y
2359,36.0,services,single,secondary,417.0,yes,no,-0.9564745746706619,10,207,failure,no
2361,37.0,services,divorced,secondary,532.0,yes,no,-0.21468147950672087,1,-1,unknown,no
2369,45.0,entrepreneur,married,secondary,68.0,yes,no,0.007050152199891927,1,-1,unknown,no
2373,28.0,blue-collar,married,secondary,8.0,yes,no,-0.22677593214526337,1,-1,unknown,no
2378,39.0,blue-collar,married,secondary,1439.0,yes,no,-0.7226484903255066,6,-1,unknown,no
2385,47.0,services,married,secondary,3333.0,yes,yes,-0.5573576375987588,2,-1,unknown,no
2386,33.0,technician,married,tertiary,16992.0,yes,no,-0.7831207535182191,1,-1,unknown,no
2390,41.61746987951807,retired,single,secondary,366.0,no,yes,-0.07357953205705818,2,-1,unknown,no
2403,42.0,technician,married,secondary,148.0,yes,no,-0.9242227009678818,2,-1,unknown,no
2409,32.0,admin.,single,secondary,1649.0,no,no,-0.19452405844248333,2,-1,unknown,no
2441,36.0,admin.,married,secondary,957.0,yes,no,-0.18646109001678832,1,-1,unknown,no
2444,41.61746987951807,management,married,secondary,724.0,yes,no,0.1400891312238596,2,415,failure,no
2457,50.0,unemployed,divorced,secondary,32.0,no,no,0.11993171015962208,2,-1,unknown,no
2458,47.0,admin.,married,secondary,31.0,yes,yes,-0.5009168586188938,6,-1,unknown,no
2471,22.0,student,single,secondary,2488.0,no,no,0.7931895737051555,2,38,other,yes
2487,31.0,unknown,divorced,tertiary,137.0,no,no,0.5351745840829152,9,-1,unknown,no
2489,55.0,retired,married,primary,-966.0,no,yes,0.05028386974865333,1,-1,unknown,no
2495,38.0,self-employed,single,tertiary,917.0,yes,no,0.03123905747697696,1,-1,unknown,no
2509,41.0,blue-collar,married,primary,1136.7502401536983,yes,no,-0.08164250048275319,3,-1,unknown,no
2518,30.0,technician,single,secondary,175.0,no,no,-0.34368897431784107,4,-1,unknown,no
2527,36.0,services,single,secondary,398.0,yes,yes,-0.7065225534741165,2,-1,unknown,no
2529,48.0,management,single,tertiary,816.0,no,no,-0.5130113112574363,1,111,failure,no
2530,33.0,management,single,tertiary,1136.7502401536983,no,no,-0.8032781745824566,4,-1,unknown,no
2538,44.0,management,married,secondary,-1746.0,yes,no,-0.13808327946261825,1,-1,unknown,no
2560,44.0,blue-collar,married,secondary,171.0,yes,no,-0.4404445954261812,3,357,failure,no
2582,32.0,blue-collar,married,secondary,9.0,yes,no,0.32956888922769234,2,-1,unknown,no
2598,36.0,blue-collar,single,primary,367.0,yes,no,-0.14211476367546577,1,221,failure,no
2600,45.0,management,divorced,tertiary,959.0,no,no,-0.718617006112659,1,-1,unknown,no
2603,26.0,management,single,tertiary,-8.0,no,no,0.6037098157013228,2,-1,unknown,no
2604,57.0,management,married,unknown,1136.7502401536983,no,no,1.3414714266524161,1,-1,unknown,yes
2617,41.0,services,married,secondary,171.0,no,no,-0.7307114587512016,9,-1,unknown,no
2625,42.0,blue-collar,married,primary,2111.0,yes,no,-0.670239195558489,2,-1,unknown,no
2628,31.0,blue-collar,divorced,secondary,-452.0,yes,no,-0.2832167111251285,5,-1,unknown,no
2643,56.0,retired,divorced,secondary,212.0,no,yes,-0.9080967641164918,1,-1,unknown,no
2660,32.0,unemployed,married,secondary,1.0,yes,no,1.0028267527732257,4,-1,unknown,yes
2670,46.0,admin.,married,secondary,1136.7502401536983,yes,yes,-0.053422110992820654,2,259,failure,no
2672,39.0,services,married,secondary,-54.0,no,no,-0.9000337956907968,1,-1,unknown,no
2696,55.0,management,divorced,tertiary,9756.0,yes,no,-0.6017039639400814,2,95,other,no
2698,41.61746987951807,management,married,tertiary,697.0,no,no,-0.34772045853068856,1,-1,unknown,no
2723,41.61746987951807,technician,single,tertiary,9851.0,yes,no,0.05028386974865333,5,-1,unknown,no
2726,31.0,management,married,secondary,1368.0,yes,no,-0.49688537440604624,4,-1,unknown,no
2735,47.0,entrepreneur,married,tertiary,459.0,yes,no,-0.2549963216351959,4,-1,unknown,no
2743,41.61746987951807,technician,married,secondary,167.0,no,yes,-0.295311163763671,6,-1,unknown,no
2745,41.61746987951807,management,married,tertiary,1657.0,yes,no,1.2648732266083136,2,356,failure,yes
2753,41.61746987951807,management,married,tertiary,133.0,yes,no,0.05028386974865333,1,-1,unknown,no
2761,41.61746987951807,blue-collar,divorced,secondary,1136.7502401536983,yes,no,0.9060711316648856,1,-1,unknown,yes
2765,41.61746987951807,retired,married,secondary,695.0,yes,yes,0.6359616894041028,5,-1,unknown,no
2768,54.0,services,married,secondary,88.0,yes,no,-0.25096483742234843,1,-1,unknown,no
2785,41.0,technician,married,secondary,92.0,no,no,-0.8758448904137117,6,-1,unknown,no
2794,44.0,blue-collar,married,secondary,191.0,yes,no,-0.8516559851366268,1,-1,unknown,no
2798,36.0,blue-collar,married,secondary,141.0,yes,no,-0.5896095113015388,3,-1,unknown,no
2799,43.0,management,married,tertiary,2886.0,no,no,-0.0897054689084482,1,-1,unknown,no
2811,44.0,blue-collar,married,primary,134.0,yes,no,0.5069541945929826,1,-1,unknown,no
2820,41.61746987951807,management,married,tertiary,1116.0,yes,no,-0.8032781745824566,5,-1,unknown,no
2835,37.0,management,married,tertiary,489.0,yes,no,-0.19049257422963584,5,-1,unknown,no
2837,43.0,blue-collar,married,secondary,699.0,yes,yes,4.054660301898787,2,122,other,yes
2841,32.0,technician,single,tertiary,741.0,yes,no,-0.05745359520566816,1,-1,unknown,no
2844,46.0,admin.,married,secondary,12.0,yes,no,-0.9363171536064243,11,-1,unknown,no
2853,33.0,technician,married,secondary,935.0,yes,no,0.6238672367655602,2,-1,unknown,no
2866,36.0,admin.,married,secondary,1136.7502401536983,yes,yes,-0.6097669323657764,2,-1,unknown,no
2869,49.0,services,married,secondary,28.0,yes,no,-0.3638463953820786,3,-1,unknown,no
2896,80.0,retired,married,primary,1548.0,no,no,0.31747443658914987,2,-1,unknown,no
2916,32.0,admin.,single,secondary,1218.0,yes,no,-0.41625569014909614,2,-1,unknown,no
2926,33.0,blue-collar,married,tertiary,1465.0,no,no,-0.6218613850043189,4,-1,unknown,no
2946,45.0,admin.,married,secondary,-388.0,yes,no,-0.311437100615061,2,-1,unknown,no
2947,40.0,self-employed,married,tertiary,163.0,no,no,0.10783725752107956,1,-1,unknown,no
2954,51.0,services,married,secondary,1136.7502401536983,no,yes,1.260841742395466,3,-1,unknown,yes
2965,41.61746987951807,blue-collar,married,primary,3587.0,yes,no,-0.4202871743619436,4,-1,unknown,no
2975,48.0,technician,single,tertiary,-551.0,yes,no,-0.3396574901049935,2,-1,unknown,no
2983,41.61746987951807,retired,married,secondary,1278.0,yes,no,-0.3154685848279085,3,-1,unknown,no
2989,42.0,entrepreneur,married,tertiary,4245.0,yes,no,-0.19049257422963584,2,-1,unknown,no
3012,36.0,services,married,secondary,-11.0,yes,no,-0.3235315532536035,28,-1,unknown,no
3013,49.0,technician,married,tertiary,523.0,yes,no,-0.4041612375105536,2,-1,unknown,no
3027,40.0,management,married,tertiary,1136.7502401536983,no,no,-0.4243186585747912,1,96,success,no
3035,55.0,unemployed,married,tertiary,489.0,yes,no,-0.11792585839838074,2,186,other,no
3038,49.0,services,married,secondary,221.0,yes,no,-0.07761101626990569,3,-1,unknown,no
3043,40.0,blue-collar,married,primary,1397.0,yes,no,-0.7831207535182191,2,334,failure,no
3045,41.61746987951807,technician,married,tertiary,3177.0,no,no,-0.6460502902814039,2,-1,unknown,no
3056,23.0,services,single,secondary,5.0,yes,no,-0.5694520902373014,3,-1,unknown,no
3064,43.0,management,single,tertiary,1696.0,yes,no,0.019144604838434442,1,474,failure,no
3092,46.0,management,married,tertiary,523.0,yes,no,-0.5936409955143864,4,366,failure,no
3109,41.61746987951807,management,single,tertiary,1136.7502401536983,no,yes,0.47470232089020253,4,-1,unknown,no
3137,42.0,blue-collar,married,secondary,368.0,yes,yes,0.7125598894482054,2,-1,unknown,no
3146,32.0,housemaid,married,tertiary,357.0,yes,no,-0.311437100615061,2,-1,unknown,no
3150,41.61746987951807,technician,married,secondary,9146.0,no,no,-0.4686649849161137,4,-1,unknown,no
3156,23.0,admin.,single,secondary,589.0,yes,no,-0.7669948166668291,1,-1,unknown,no
3161,41.61746987951807,technician,married,secondary,556.0,yes,no,0.837535900046478,2,-1,unknown,yes
3171,28.0,blue-collar,single,primary,1199.0,yes,no,3.058883701325453,20,-1,unknown,yes
3175,38.0,admin.,divorced,secondary,156.0,yes,no,1.1761805739256685,3,-1,unknown,yes
3193,41.61746987951807,retired,divorced,primary,86.0,no,no,-0.2429018689966534,1,-1,unknown,no
3200,41.61746987951807,student,single,unknown,3298.0,yes,no,-0.10179992154699072,1,-1,unknown,no
3215,40.0,technician,married,secondary,99.0,yes,no,-0.0010128162258030832,3,-1,unknown,no
3234,39.0,management,single,tertiary,3797.0,no,no,-0.629924353430014,2,-1,unknown,no
3256,36.0,management,married,tertiary,495.0,no,no,-0.1582407005268558,3,182,success,no
3272,44.0,services,single,secondary,545.0,yes,no,-0.9363171536064243,6,175,other,no
3283,45.0,blue-collar,married,primary,2128.0,yes,no,-0.41625569014909614,4,-1,unknown,no
3313,36.0,services,married,primary,179.0,no,no,0.6399931736169503,1,-1,unknown,no
3334,46.0,unemployed,divorced,primary,23.0,no,no,0.3698837313561674,1,-1,unknown,no
3359,25.0,unemployed,single,secondary,34.0,yes,yes,0.2570021733964373,1,-1,unknown,no
3367,27.0,admin.,married,secondary,897.0,no,no,0.5835523946370852,1,-1,unknown,no
3406,41.61746987951807,admin.,single,secondary,926.0,yes,yes,-0.2469333532095009,1,-1,unknown,no
3446,38.0,services,married,secondary,8876.0,no,no,0.11186874173392707,1,75,failure,no
3455,33.0,technician,divorced,secondary,-35.0,no,yes,-0.5775150586629964,1,-1,unknown,no
3457,30.0,management,single,tertiary,6164.0,yes,no,-0.4041612375105536,11,-1,unknown,no
3482,59.0,retired,married,secondary,576.0,yes,no,0.8818822263878006,2,-1,unknown,yes
3506,54.0,management,married,tertiary,3.0,no,yes,0.7690006684280705,1,-1,unknown,yes
3534,47.0,admin.,single,secondary,1544.0,yes,no,-0.5976724797272339,1,312,failure,no
3542,36.0,services,married,secondary,1746.0,yes,no,-0.6178299007914714,1,-1,unknown,no
3549,47.0,blue-collar,married,primary,292.0,no,yes,-0.1703351531653983,3,-1,unknown,no
3553,68.0,retired,married,secondary,19317.0,yes,no,-0.013107268864345599,1,-1,unknown,no
3554,43.0,technician,married,secondary,5.0,no,no,-0.7629633324539816,1,-1,unknown,no
3556,49.0,technician,married,tertiary,3726.0,no,no,2.5106018483781924,2,-1,unknown,yes
3577,32.0,management,married,tertiary,1136.7502401536983,no,no,-0.5976724797272339,9,-1,unknown,no
3595,30.0,blue-collar,single,secondary,447.0,no,no,-0.6017039639400814,6,-1,unknown,no
3598,43.0,admin.,married,secondary,3215.0,yes,no,-0.09776843733414321,3,-1,unknown,no
3604,36.0,technician,married,tertiary,1136.7502401536983,no,no,-0.4243186585747912,2,-1,unknown,no
3609,55.0,management,married,tertiary,1136.7502401536983,yes,no,-0.3759408480206211,2,-1,unknown,no
3626,41.61746987951807,technician,married,secondary,114.0,yes,yes,-0.4001297532977061,1,309,other,no
3630,44.0,technician,divorced,unknown,759.0,yes,no,0.5835523946370852,1,-1,unknown,no
3652,29.0,admin.,single,secondary,17.0,yes,no,-0.8960023114779493,1,357,other,no
3656,33.0,student,single,unknown,5969.0,no,no,-0.3880353006591636,2,127,failure,no
3664,41.61746987951807,technician,married,secondary,351.0,yes,no,0.8657562895364106,1,-1,unknown,yes
3673,36.0,entrepreneur,married,tertiary,357.0,no,no,10.146232947511368,4,-1,unknown,yes
3682,43.0,management,divorced,tertiary,497.0,no,no,-0.750868879815439,1,363,failure,no
3696,31.0,services,single,secondary,31.0,yes,yes,1.0028267527732257,2,-1,unknown,yes
3709,44.0,entrepreneur,married,secondary,6649.0,yes,no,0.41019857348464245,2,-1,unknown,no
3722,29.0,self-employed,married,secondary,-76.0,yes,no,0.2126558470551147,2,-1,unknown,no
3725,49.0,unemployed,married,primary,-384.0,yes,no,-0.9161597325421869,1,-1,unknown,no
3726,45.0,technician,married,unknown,473.0,yes,no,-0.4243186585747912,1,-1,unknown,no
3729,42.0,entrepreneur,married,primary,149.0,no,no,-0.6379873218557089,2,-1,unknown,no
3731,52.0,retired,married,secondary,424.0,no,no,-0.4404445954261812,1,154,failure,no
3732,41.61746987951807,blue-collar,single,secondary,79.0,no,yes,-0.5976724797272339,1,-1,unknown,no
3744,26.0,admin.,single,secondary,321.0,yes,no,-0.04132765835427814,7,-1,unknown,no
3750,79.0,retired,divorced,unknown,2628.0,no,no,-0.13002031103692324,7,450,failure,no
3751,39.0,technician,married,secondary,116.0,no,no,-0.6984595850484215,2,94,success,no
3756,42.0,services,married,secondary,96.0,yes,no,-0.05745359520566816,3,340,failure,no
3758,31.0,blue-collar,married,secondary,472.0,yes,no,2.6396093431893126,2,-1,unknown,yes
3774,41.61746987951807,blue-collar,married,secondary,1298.0,yes,no,0.05028386974865333,1,-1,unknown,no
3795,39.0,services,married,secondary,5731.0,yes,no,-0.311437100615061,2,-1,unknown,no
3797,30.0,technician,single,tertiary,2325.0,yes,no,0.07155389960545201,3,241,other,no
3799,31.0,blue-collar,married,secondary,1664.0,yes,no,-0.3799723322334686,1,182,success,no
3829,41.0,admin.,divorced,secondary,-365.0,yes,no,-0.10583140575983822,10,-1,unknown,no
3845,31.0,blue-collar,married,secondary,1495.0,yes,yes,-0.3759408480206211,3,-1,unknown,no
3846,49.0,admin.,married,secondary,381.0,no,no,1.0149212054117682,2,-1,unknown,yes
3848,26.0,management,single,tertiary,1274.0,yes,no,-0.25096483742234843,1,84,failure,no
3871,30.0,unemployed,married,secondary,142.0,yes,no,0.3940726366332524,4,-1,unknown,no
3875,27.0,housemaid,married,secondary,4848.0,yes,yes,-0.686365132409879,3,-1,unknown,no
3881,44.0,technician,single,secondary,1679.0,no,no,1.8776588269611345,1,-1,unknown,yes
3882,38.0,management,married,tertiary,1198.0,yes,no,-0.7629633324539816,1,-1,unknown,no
3895,31.0,technician,married,secondary,376.0,yes,no,-0.49688537440604624,1,-1,unknown,no
3902,55.0,blue-collar,married,secondary,111.0,yes,no,-0.5654206060244539,2,-1,unknown,no
3905,41.61746987951807,blue-collar,married,secondary,1136.7502401536983,no,no,-0.6379873218557089,1,-1,unknown,no
3910,49.0,admin.,married,secondary,1444.0,yes,no,-0.7750577850925241,1,-1,unknown,no
3916,38.0,entrepreneur,married,tertiary,1136.7502401536983,yes,no,-0.27112225848658594,3,-1,unknown,no
3924,44.0,services,married,secondary,1989.0,yes,yes,-0.5896095113015388,2,-1,unknown,no
3932,25.0,management,married,tertiary,-242.0,yes,yes,1.4019436898451287,4,332,other,yes
3938,32.0,services,married,secondary,162.0,yes,no,0.18040397335233466,2,-1,unknown,no
3941,58.0,blue-collar,married,primary,1136.7502401536983,yes,no,1.139897216010041,2,-1,unknown,yes
3946,28.0,admin.,married,secondary,934.0,yes,no,-0.8032781745824566,2,-1,unknown,no
3947,48.0,blue-collar,married,secondary,-19.0,no,yes,0.07155389960545201,1,-1,unknown,no
3959,54.0,retired,divorced,primary,22.0,no,no,-0.9242227009678818,4,-1,unknown,no
3965,58.0,retired,married,primary,592.0,no,no,-0.21468147950672087,6,-1,unknown,no
3976,48.0,management,married,tertiary,-13.0,yes,no,-0.9363171536064243,6,291,other,no
3983,40.0,technician,divorced,tertiary,1871.0,yes,no,-0.7589318482411341,1,-1,unknown,no
3991,31.0,admin.,single,secondary,5527.0,yes,no,-0.4847909217675037,1,-1,unknown,no
4001,36.0,technician,married,secondary,191.0,no,no,-0.7387744271768966,1,-1,unknown,no
4005,55.0,blue-collar,married,primary,186.0,yes,no,-0.42835014278763867,1,272,failure,no
4006,55.0,blue-collar,married,secondary,471.0,yes,no,-0.7831207535182191,2,-1,unknown,no
4009,38.0,housemaid,divorced,secondary,7.0,no,no,0.011081636412739434,3,148,success,no
4011,41.0,technician,married,secondary,162.0,yes,no,-0.4444760796390287,1,-1,unknown,no
4013,39.0,technician,married,unknown,839.0,no,no,2.3090276377358174,2,-1,unknown,yes
4036,40.0,technician,married,secondary,4441.0,yes,no,-0.4001297532977061,2,183,failure,no
4037,42.0,management,divorced,tertiary,1136.7502401536983,no,no,-0.48882240598035126,2,-1,unknown,no
4051,69.0,retired,married,primary,279.0,no,no,-0.9121282483293393,1,-1,unknown,no
4055,29.0,management,single,tertiary,1673.0,no,no,-0.21064999529387335,2,159,other,no
4057,28.0,blue-collar,married,secondary,1.0,yes,yes,-0.4847909217675037,2,-1,unknown,no
4067,41.61746987951807,technician,married,secondary,26.0,no,no,0.05028386974865333,6,-1,unknown,no
4085,41.61746987951807,management,married,tertiary,1136.7502401536983,yes,no,0.17234100492663965,3,-1,unknown,no
4088,42.0,blue-collar,married,primary,26.0,yes,no,-0.311437100615061,2,-1,unknown,no
4105,39.0,entrepreneur,married,secondary,1136.7502401536983,no,no,-0.5815465428758438,7,-1,unknown,no
4137,59.0,unknown,married,unknown,394.0,no,no,-0.8234355956466942,2,-1,unknown,no
4141,37.0,management,married,tertiary,1136.7502401536983,no,no,-0.49688537440604624,4,107,failure,no
4151,32.0,services,single,secondary,2478.0,no,yes,0.5754894262113902,1,-1,unknown,no
4162,56.0,technician,divorced,tertiary,41.0,yes,no,-0.9121282483293393,1,-1,unknown,no
4165,59.0,management,married,tertiary,1881.0,no,no,0.05028386974865333,2,-1,unknown,no
4205,44.0,services,divorced,secondary,1136.7502401536983,yes,yes,-0.6258928692171665,1,-1,unknown,no
4213,30.0,technician,single,secondary,-522.0,yes,yes,1.6841475847444543,2,286,failure,yes
4217,38.0,unemployed,married,tertiary,2812.0,yes,no,2.329185058800055,1,-1,unknown,yes
4220,33.0,blue-collar,single,secondary,-416.0,yes,no,2.075201553390662,2,-1,unknown,yes
4240,45.0,admin.,married,secondary,-547.0,yes,no,-0.15420921631400827,2,-1,unknown,no
4250,32.0,management,single,tertiary,2.0,yes,no,-0.6137984165786239,2,-1,unknown,no
4261,58.0,retired,married,secondary,3382.0,no,yes,0.16830952071379215,2,309,failure,no
4263,25.0,student,married,tertiary,1.0,yes,no,2.4380351325469376,4,-1,unknown,yes
4270,37.0,management,divorced,tertiary,896.0,no,yes,0.36585224714331993,2,-1,unknown,no
4275,41.61746987951807,management,married,tertiary,15.0,no,no,2.696050122169178,2,-1,unknown,yes
4282,41.61746987951807,admin.,divorced,secondary,-251.0,no,no,1.5672345425718766,1,-1,unknown,yes
4283,46.0,services,divorced,secondary,5.0,yes,yes,0.2126558470551147,2,-1,unknown,no
4298,26.0,admin.,single,secondary,3529.0,no,yes,-0.7871522377310667,2,-1,unknown,no
4310,36.0,management,married,tertiary,1852.0,yes,no,0.4424504471874225,1,-1,unknown,no
4312,30.0,services,single,secondary,2.0,yes,no,0.6117727841270177,6,340,failure,no
4342,50.0,blue-collar,married,unknown,2284.0,yes,no,3.3693079857147112,17,-1,unknown,yes
4352,47.0,blue-collar,married,primary,2642.0,no,no,0.23281326811935224,2,-1,unknown,no
4368,54.0,services,divorced,secondary,112.0,yes,no,-0.8839078588394068,3,175,other,no
4374,45.0,services,divorced,primary,3854.0,yes,no,-0.9766319957348993,3,-1,unknown,no
4384,52.0,management,single,tertiary,4.0,no,yes,-0.8960023114779493,9,-1,unknown,no
4407,45.0,admin.,divorced,secondary,59.0,yes,no,2.5025388799524975,8,-1,unknown,yes
4426,41.0,admin.,married,tertiary,1536.0,no,no,-0.7992466903696092,2,-1,unknown,no
4441,38.0,management,married,tertiary,12877.0,no,no,-0.5412317007473688,3,-1,unknown,no
4442,39.0,blue-collar,married,primary,156.0,yes,no,0.18846694177802967,2,-1,unknown,no
4446,22.0,student,single,secondary,246.0,yes,no,-0.9161597325421869,1,-1,unknown,no
4448,44.0,unemployed,married,secondary,34.0,yes,no,-0.49688537440604624,2,-1,unknown,no
4460,40.0,technician,married,secondary,-396.0,yes,no,-0.5049483428317413,1,-1,unknown,no
4470,31.0,technician,single,tertiary,1166.0,yes,no,-0.18242960580394083,1,-1,unknown,no
4471,59.0,management,married,unknown,3534.0,no,no,-0.14614624788831326,4,-1,unknown,no
4473,33.0,technician,married,secondary,479.0,yes,no,-0.4646335007032662,1,272,failure,no
4477,32.0,management,single,tertiary,577.0,no,no,-0.6097669323657764,2,-1,unknown,no
4482,46.0,admin.,married,secondary,466.0,yes,no,0.05028386974865333,1,-1,unknown,no
